,MA,cntr,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,mean
0,'s-Hertogenbosch_NL,NL,0.4265157118072982,0.4789835962766797,0.5116942195572832,0.6510364825800106,0.6207844814830321,0.6568310229619178,0.8497233579848085,0.919717801243097,1.0682166467359693,1.10556047075407,1.2098577960523957,0.8843891683558625,0.8370698695861903,0.6432324246430685,0.8018234320877015,0.7544782140347879,0.9140712114543417,1.0277637890593723,1.0197862556602975,1.1165448638524151,1.2593078216551694,1.439637205975379,1.9839167177681547,2.3383141317228047,2.444548590028384,2.3281125958041673,2.0637826598112454,2.0636650215322963,1.5162776862047922,1.559974169607729,1.7529475812633053,1.201566612824001
1,A Coruña_ES,ES,0.0,0.0,0.0,0.0,0.0,0.0,0.03423718143390023,0.0368712584505434,0.035453367166703185,0.0,0.0,0.0,0.0,0.10271498859271748,0.14791254194974343,0.14063762738911853,0.05135620013657127,0.16583058770160683,0.16923231740530317,0.181272754664082,0.20447551649124493,0.2052548026903747,0.2193518510703188,0.36667388705532294,0.4127309485449708,0.47865376705852924,0.5534325635402156,0.8498903561094162,0.7969321725023041,1.0293676868134145,1.0297867624896389,0.23264739158890452
2,Aalborg_DK,DK,0.23724138659522692,0.3079234154657986,0.38561239771436173,0.37391095549330206,0.3768942252857546,0.41800411625128586,0.3507172475655499,0.28792540487985174,0.3320106211884457,0.36107119812217287,0.19948638889683099,0.1853175081959286,0.2555714368457183,0.1714981605011146,0.18504438640729823,0.32536151501134186,0.4731988060041741,0.6822994461992865,0.7117216103296956,0.9838843504222897,0.8886893670225213,1.0410836436030015,1.0339565324529996,0.9653371454952375,0.9547417839033614,1.005134396173962,0.9452285538674517,1.0161654078338556,1.139390252360687,1.116793078707228,1.0315331169785336,0.6046047695411055
3,Aarhus_DK,DK,0.5672301042243904,0.6648868234920697,0.6931726692391548,0.860079417669186,0.8952493960473155,0.9013862000016918,0.7530680334782388,0.7798630684260411,0.5157447983170239,0.49186918302650345,0.5064861670502525,0.49574411403946156,0.5350332785537982,0.5916550959369482,0.7304323844785614,0.9964696411829412,1.1429816119383944,1.2066646243615897,1.4353435384990527,1.5318366025194423,1.6964876079132878,1.9083020746304582,2.0027855708433324,1.9626754606506087,2.1252800973768906,2.1027318837497386,2.111331017310202,2.3131444438540023,2.407022715966317,2.593855685448348,2.4955690026625734,1.2907865262221874
4,Abakan_RU,RU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07600159565880452,0.07989224982959402,0.00502883372543221
5,Abbotsford_CA,CA,0.23952268686235711,0.2095569946719247,0.22568440605128023,0.1813325155502716,0.19843040309765808,0.2601213395339919,0.460834458721971,0.440967212861204,0.4881234055553546,0.44896451864676346,0.4987967882353695,0.35853654079856007,0.41959089527183013,0.37326298823707993,0.46554764773056334,0.5444414866400321,0.6436411613522538,0.6847327122453638,0.726772323916784,0.7719427690914524,0.703587377053953,0.6469507842443405,0.800483786695882,0.8684933987841221,0.8884896711005023,0.9442575050318812,1.0188223402574388,0.9875356138495663,0.9114279690378951,0.82765773300109,0.8671112282663584,0.5840522794320999
6,Aberdeen_GB,GB,0.7023862670525126,0.8324523607861603,0.9134305823636567,0.9552486932980004,0.9986630290817692,0.9117502785459738,0.8061065674190913,0.7415877129739591,0.6249413613590006,0.6634955740554486,0.7514515656877429,0.7343471422733484,0.7193002487739355,0.8857025041997272,1.093033221645524,1.4586778384764507,1.6242027241479096,1.485935259722265,1.4788505831247842,1.1277425193979067,0.9257733598692452,0.9882142953783151,1.167238163468812,1.2278951771006177,1.2897528520194137,1.10337618333012,0.9426654163085533,1.0171752695317002,1.0511661773658338,1.1207180423195227,1.0718494160602847,1.01339130281089
7,Abilene_US,US,0.43973144239090745,0.3949544708366411,0.3979410492095032,0.30465837547984054,0.22078058981293155,0.23588455143947262,0.23449567535941554,0.2619057288193223,0.4007012389962849,0.442627597483925,0.4251127971727556,0.41237305591705625,0.3555977242177514,0.2818564098846818,0.2730103529719909,0.23031610894113264,0.18232114265938898,0.2517111527601045,0.27134352825818037,0.30371395123549794,0.3312412744552254,0.344966263094361,0.2843011822661485,0.274215769905081,0.4085378556120114,0.46773686464382525,0.5154714209547213,0.6276432233311641,0.665622245992873,0.6924322347770745,0.6213250395309916,0.3727267844648471
8,Adana_TR,TR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06060934277213501,0.00195514008942371
9,Adelaide_AU,AU,1.108863674854401,1.191926630604289,1.0888951933146043,1.1336193217496349,1.1473708764953365,1.2341906590606377,1.0752017134089338,1.2419736619296542,1.3926084477371115,1.296427954449164,1.238599796318984,1.214270291582605,0.9914426421370462,0.9778852948048304,1.0873430959583994,0.8915617215851614,0.9124083763022418,0.8865457174483564,1.1361108737420074,1.0827004533845155,1.1285688545631818,1.1676656722501568,1.3029756067875793,1.555430802843843,1.7136719098048139,1.7195717199881384,1.7194208267939854,2.0173561130672275,2.1564558571060752,2.2876284992703493,2.344802111835699,1.3368869151993215
