,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,region
0,0.11101406236352519,0.11029948867786706,0.12151693837437855,0.11181530104119511,0.10600959085807571,0.10822760476739715,0.10804437068739628,0.10613584715091322,0.10875756496974012,0.11126360160768552,0.10847645429362882,0.12339249654586035,0.11243995686697382,0.1140084305460249,0.1131894994154533,0.1197417742607247,0.1286603407815529,0.1545679012345679,0.14507386544797535,0.15272338910644356,0.14572704081632654,0.12946745562130177,0.13039485766758493,0.13658713317116092,0.14267203480031468,0.1502835538752363,0.1543915946379587,0.16026044948540222,0.17066991930943892,0.18559556786703602,0.19564121945074325,Aargau_CH
1,0.2088888888888889,0.2066115702479339,0.18339100346020762,0.1859504132231405,0.15625,0.1701388888888889,0.1947069943289225,0.23553719008264462,0.2128,0.24763705103969755,0.21893491124260356,0.17695473251028807,0.14464099895941726,0.14863258026159334,0.15764425936942297,0.15392561983471073,0.16493055555555555,0.18413223140495869,0.18944444444444444,0.19287109375,0.20204945422143017,0.19084255957965848,0.18378257963911784,0.162534435261708,0.155702479338843,0.1539833531510107,0.14423076923076922,0.16867971678467306,0.16964285714285715,0.18621114188981225,0.19203329369797859,Abruzzo_IT
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,Adana_TR
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3469387755102041,0.36,0.3884297520661157,0.5041322314049587,0.3296398891966759,0.31568998109640833,0.31947069943289225,0.25206611570247933,0.26077097505668934,0.3333333333333333,0.4375,Aegean_GR
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,Afyon_TR
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30864197530864196,0.30864197530864196,0.2345679012345679,0.20710059171597633,0.21428571428571427,0.2777777777777778,0.26627218934911245,0.2916666666666667,0.34,Aguascalientes_MX
6,0.10795454545454546,0.11168199026500811,0.11560311798123926,0.12670068027210885,0.12709572742022715,0.13013608138459506,0.139375,0.13601393525910874,0.1292590589507842,0.1402018907226406,0.1488543502643807,0.14488636363636365,0.13494377342773844,0.13318880196059948,0.13643632690850938,0.1394881649052319,0.1452892561983471,0.1518646674356017,0.15976331360946747,0.1518121301775148,0.16243505538672678,0.16953372566772296,0.1735891932836763,0.17857142857142858,0.17906008328375966,0.19667590027700832,0.18211702827087442,0.18507766003774132,0.18271898533491876,0.1784461685620151,0.18929383048564935,Aichi_JP
7,0.15397923875432526,0.14812611540749554,0.1584640346133045,0.15532879818594103,0.13443072702331962,0.12688614540466392,0.09438775510204081,0.09454394002498959,0.10438074634937804,0.10899653979238755,0.142578125,0.16089965397923875,0.16481994459833796,0.18055555555555555,0.16375,0.13975694444444445,0.1392,0.14609053497942387,0.14464099895941726,0.1416015625,0.15348629984406326,0.12481974042621374,0.12601406165494863,0.13315555555555555,0.1258650519031142,0.1370015593673424,0.16269468943516607,0.16266666666666665,0.166875,0.16378116343490304,0.1673469387755102,Akershus_NO
8,0.08897959183673469,0.08571428571428572,0.08304498269896193,0.091796875,0.095703125,0.09763313609467456,0.11966701352757544,0.12109375,0.1377551020408163,0.12757201646090535,0.14285714285714285,0.1556122448979592,0.1242603550295858,0.11224489795918367,0.13609467455621302,0.12396694214876033,0.1383975026014568,0.15591836734693879,0.1384297520661157,0.12691358024691357,0.15500945179584122,0.17013232514177692,0.1767485822306238,0.215,0.26,0.22359396433470508,0.2570239334027055,0.2627551020408163,0.24851367419738407,0.23529411764705882,0.279320987654321,Akita_JP
9,0.1125590611187319,0.11278768480414571,0.1146875,0.109789604426211,0.10806279530559366,0.09746989788142052,0.09287796751353602,0.09065391868777685,0.08812326869806095,0.09787588504789671,0.10001929012345678,0.09569198751300728,0.0975765306122449,0.09669924691555841,0.09683962838249016,0.09316770186335403,0.09884893793758158,0.09814342403628118,0.10165080309339679,0.10359558561765753,0.10115555555555555,0.1033726590938994,0.10725326991676576,0.10759634662508354,0.1016,0.10824609733700642,0.11193187647481276,0.11021335689938139,0.10721247563352826,0.11412960532340283,0.11516742468178627,Alabama_US
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.5102040816326531,0.35802469135802467,0.0,0.34375,0.375,Alagoas_BR
