,region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
55,BayofPlenty_NZ,23784.096484375,24078.030859375,24754.768359375,25462.237109375,25916.7734375,26453.399609375,26956.43515625,27515.795703125,28219.344140625,29092.716796875,29844.864453125,30617.98828125,31339.226953125,32007.03984375,32377.27890625,32508.35703125,32514.833203125,32536.38125,32575.6875,32811.1453125,33255.632421875
56,Beijing_CN,4704.448086499411,5113.930820428757,5539.911156645276,6029.0436046782,6633.70587313213,7343.445104011656,8143.298995729476,9109.156775096108,10230.480407133557,11406.288591851127,12638.532622419085,13828.87450299944,15009.303649902344,16319.162408156622,17565.46778235057,18796.344324311754,19742.662330264135,20805.389703466022,21779.45698823475,22941.140755208333,24230.70259951637
57,Belgorod_RU,15149.855127992021,13769.045078653895,12183.821742021279,11087.949873443544,10262.668280418882,9949.63636892529,9657.109010064072,9761.236959773936,10036.607162717602,10432.10964473525,11174.785980944751,12127.00874108438,13286.006912249151,14810.360797721229,16740.59673748791,17854.66873526656,18690.232111339457,19475.06402321083,19868.322345336677,19760.42941814253,19901.5932452853
58,Berlin_DE,30143.398849826386,31321.821723090274,32046.266037326393,32425.236002604164,32534.207161458336,32571.36276041667,32590.365494791662,32671.91681857639,32714.7720703125,32616.419986979163,32375.010807291663,32123.118598090274,32124.9623046875,32401.18313802084,33047.85149739584,33738.23263888889,34513.65546875,35320.88975694445,36099.78962673611,36520.01254340278,37206.49691840277
59,Bern_CH,38783.94127327128,38601.190575132976,38478.36476894947,38483.48452460107,38643.76909906915,38837.84299368351,39245.57693650266,40083.77848238032,40937.323420877656,41508.98210605053,42272.72774268617,42886.02638796542,43595.23720079787,44835.074709109045,46597.16364694149,47813.839561170214,49161.34010139628,50112.22342087766,50503.926205119686,50631.519946808505,51095.994340093086
60,Bihar_IN,998.3591952948464,994.6139814541393,1008.0525775793446,1026.7742240460661,1049.0747691797837,1080.1837098622382,1110.213888171156,1131.8862656354318,1163.304917818695,1185.8297120946104,1226.4425405510156,1253.9550776435394,1303.5760451706296,1367.9474005342609,1449.259471673268,1512.8788554358503,1616.9998517903914,1720.395647837279,1815.6233842584866,1918.3837153589127,2032.7656792846778
61,Bihor_RO,9928.2126953125,9747.4044921875,9923.9244140625,10167.9666015625,10394.5314453125,10565.5220703125,10519.0099609375,10646.98359375,11257.973828125,11906.44375,12764.04453125,13633.78359375,14455.891015625,15163.927734375,16056.484375,16488.928125,16974.990625,17304.76328125,17393.003515625,17381.465625,17720.63984375
62,Bilecik_TR,15250.3033203125,15552.4759765625,16062.4376953125,16773.998828125,16873.62421875,16757.726953125,16550.8859375,16109.34140625,15583.2109375,15427.8234375,15713.947265625,16249.9515625,17194.377734375,18136.88828125,18942.738671875,19257.751953125,19616.783984375,20052.47578125,20368.104296875,20804.913671875,21539.730078125
63,Bjelovarska-Bilogorska_HR,11209.527183159722,10161.095594618057,9738.169322916667,9907.451467013889,10501.438055555558,10993.2108984375,11550.065542534721,12016.370355902778,12543.230286458333,12973.572078993055,13499.042938368055,13882.676289062501,14407.79720920139,14656.90939236111,15323.583559027777,15621.414513888889,15485.558906249998,15179.573923611111,14922.006636284723,14227.02671875,13836.724032118054
64,Blekinge_SE,27075.28828125,26833.620703125,26938.966796875,27793.4953125,28455.44609375,29238.105078125,30780.3390625,31588.490625,31964.584765625,32959.586328125,34046.669921875,34732.091796875,36000.87734375,37097.40390625,37425.665625,36750.13046875,36433.58515625,36202.828125,35827.0875,35856.27265625,36559.40234375
65,Borsod-Abaúj-Zemplén_HU,10834.652018479566,10490.453888972354,10322.236483623796,10308.177210787258,10407.020923227163,10528.825725661058,10725.459948167067,11017.425617487981,11295.5256640625,11677.77802734375,12270.091786358174,13032.76416015625,13715.257349759617,14376.467189002404,14819.033892728365,14718.628844651443,14440.940371093751,14232.800883413462,13985.013215144232,13848.83273888221,14109.731424278847
66,Bourgogne-Franche-Comté_FR,25401.280746612367,25540.34760676766,25762.989170980512,26139.85949775426,26853.50217246498,27595.405199451885,28436.249026054353,29264.03365750609,29934.13615255786,30280.62061890987,30673.62869309531,30795.55068514008,30951.792809359777,31079.23171151796,31269.290564098665,30978.871598565012,30669.296841694577,30376.81230254644,30093.68394583587,29827.283933941082,29816.828417136112
67,Braga_PT,19070.72109375,19467.30234375,19781.565625,19720.948046875,19945.632421875,20249.098828125,20514.5140625,20739.68515625,21167.655859375,21291.02578125,21336.186328125,21330.955859375,21310.2953125,21475.794921875,21794.489453125,21942.827734375,22116.15859375,22156.616015625,21899.6984375,21578.360546875,21450.509375
68,Brandenburg_DE,27778.59296875,28190.42578125,28245.272265625,28370.962890625,28716.547265625,29127.3,29629.26875,30185.859765625,30553.623828125,30713.875390625,30818.824609375,30804.175,30961.2890625,31382.284375,32036.99453125,32352.71640625,32845.45078125,33354.73203125,33859.0,34115.66875,34858.7578125
69,Bratislavský_SK,25871.44600694444,25499.44485677083,25727.705740017358,27087.941297743055,28614.66294487847,29781.193055555555,30860.483018663195,32005.125130208333,33119.64801432291,34360.1806749132,36141.69662543402,38892.68536241319,41752.01668836805,45338.17391493055,48877.934157986114,51999.66497395834,54322.949631076386,56559.85071614584,57762.46106770834,58804.352105034726,60097.94741753473
70,Brașov_RO,11983.1783203125,11764.9458984375,12060.75078125,12423.2,12824.2552734375,13106.004296875,13308.1509765625,13449.4697265625,14034.2513671875,14625.24375,15329.4841796875,16149.8677734375,17189.1333984375,18444.2146484375,19922.9234375,21016.414453125,21889.501171875,22491.106640625,22605.51015625,22590.5140625,23031.33515625
71,Bremen_DE,41700.99375,42247.60703125,42502.74765625,43102.853125,43954.88984375,44637.0828125,45649.14609375,46784.39296875,47692.3515625,48524.02734375,49379.98984375,49978.28671875,50827.69296875,51830.06015625,52930.9015625,53488.7234375,54260.1328125,55002.0203125,55731.84921875,56110.20078125,57271.678125
72,Bretagne_FR,23725.31516927083,24041.372635352363,24328.26589345422,24791.56532680684,25551.29498296039,26412.63788258745,27416.459820280354,28394.211980774176,29123.271965824337,29674.24187885802,30307.887233957048,30767.47742010674,31249.02772874872,31523.477965856477,31728.0055153678,31425.65471723894,31041.71444749871,30649.20954459234,30443.754985693155,30272.085834619338,30331.47717656893
73,BritishColumbia_CA,31760.067420839398,31665.306709433615,31742.488168110787,32005.9512368973,32178.10696237998,32427.165349908802,32922.66371624653,33447.27801073513,34031.84208115569,34684.33608121627,35443.328238139205,36245.57678648616,37246.38691666176,38215.37486086824,39067.87165559834,39425.74473603853,39547.07670592974,39583.74511495665,39509.17913600775,39553.538858816675,39997.055478778624
74,Bruxelles_BE,42886.8234375,43611.31875,44321.38671875,45150.6421875,46332.07578125,47660.34921875,49103.13125,50556.165625,51838.66875,52823.503125,53714.5375,54447.11953125,55124.3828125,55929.74921875,56723.9796875,57007.3140625,57286.10546875,57503.96796875,57443.1109375,57362.53828125,57555.95234375
75,Bryansk_RU,9418.463805927675,8560.310136479104,7837.000942712328,7253.040087591066,6764.136118134107,6442.859987148917,6284.129185738592,6162.312474687261,6320.944195594086,6590.068977664877,6862.167036672019,7169.008932850843,7548.742296689273,8037.008185900355,8569.801541830424,9101.661376803346,9232.516580593367,9307.984928585123,9226.462908898102,9071.085069976993,8935.635631949768
76,Bucharest_RO,14905.763671875,14634.306640625,14908.011328125,15415.265625,16284.3759765625,17294.06171875,19013.4921875,20551.0982421875,22399.51640625,24090.6703125,25948.247265625,27861.5921875,30291.141015625,33295.0828125,37911.838671875,41476.14609375,44037.609375,46276.84609375,47736.0859375,47704.41953125,48635.3015625
77,Budapest_HU,22606.756521267358,22860.37886284722,23453.774424913194,24393.946885850695,25624.09886067708,26947.8126953125,28495.707183159724,30318.011653645837,32439.016579861112,34372.956597222226,36436.29813368056,38635.91751302083,41029.49340277778,42830.01284722223,44675.879166666666,45721.26848958334,46092.727430555555,46053.936328125004,45895.94088541666,45709.759809027775,46224.663671875
78,Burgas_BG,11042.552545466191,10392.086324923157,9531.283027023568,9486.961280097337,9463.043349769468,9351.771045722337,9789.281403688525,10124.147220799181,9897.910220286887,9911.065941982582,10308.549583760247,10718.370667904714,11731.770017930328,12754.07491675205,13747.895017930327,14277.794768186475,14316.505126152664,14302.214414702868,14203.337275870901,13994.130494364752,14090.875140881148
