,cntr,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
29,LU,71184.66506430182,72958.4692199064,73785.77599039642,75160.99967926879,76971.80873093223,79534.24827534649,83060.57132097839,86926.0114322113,90581.31560251905,93666.86700179856,96186.31278245896,97925.17955394632,100199.27406205838,103428.93387663426,105928.2929608522,106784.64924255622,107849.05155802061,107784.2653949956,106198.2385511362,105247.0712952438,105448.988720532
30,LV,0.0,0.0,0.0,0.0,0.0,5637.266145499102,5988.429993193428,6406.040849219226,6842.0885380742575,7343.626544110506,7964.153309176772,8724.434875281733,9654.650091271218,10722.043017989175,11582.124053295922,11948.84366970808,12035.99687176948,11947.042977225079,11791.85512598302,11772.40140394336,12156.85797480772
31,MT,10829.811296292162,11283.91273004984,11745.378251891601,12245.09135449804,12788.654052747,13341.85144111498,14310.794991331722,15137.43608130534,15911.27817717894,16683.37323906076,17322.761083235695,17511.657537421917,17843.87913938016,18278.64365495744,18718.919010900216,19103.145269990837,19587.880230539216,19996.83629069274,20373.46967789186,20798.04656933718,21540.516967633783
32,MX,7729.185561439352,7715.189182323893,7741.821620805769,7823.423744414354,7961.089918539483,8070.761401738227,8364.992371601349,8552.46834949977,8634.862572713164,8659.981742870368,8706.830438243156,8710.026783313704,8797.990763521288,8924.684010660403,9043.546293562205,8997.005543054811,8997.147560159763,8983.846895951981,8997.027916766418,9017.346310025281,9188.887597738527
33,NL,31912.304985601182,32430.443359214918,33050.54510679964,33874.58608158686,34952.98665123288,36206.208662830315,37558.248344680134,38832.624453211436,39809.08150457726,40469.96405934675,40938.76728094808,41287.73391612024,41788.78603045086,42633.656617275105,43664.4618127079,44179.901470316705,44617.64726961774,44873.049308895206,44693.90832676169,44317.13953881422,44415.997935065614
34,NO,52634.80546336833,54316.84014779124,56263.7548851299,58479.75281449161,60717.30877027527,62646.683055292946,64503.91189036782,66048.47867727566,67143.35225322808,68025.98649959268,69203.1166609336,70322.9160616918,71462.93583580098,72766.56228308789,73909.7828663656,74143.51604791604,74021.48101956278,73622.52386422794,73133.39261235713,72734.06772663994,72899.46994738329
35,NZ,25899.30165033534,26224.29400990134,26965.29863440132,27745.095282963,28261.43421333246,28864.21162564936,29432.104908725225,30064.863845293825,30838.84341422576,31781.90714711006,32610.162596710317,33447.79333299028,34223.694763087566,34964.88393309246,35400.727147788835,35589.141024578545,35657.56996394343,35715.82709688584,35747.58754708366,36060.4286887328,36610.45983546388
36,PL,5000.222512268616,5103.820902879174,5350.6811112126525,5652.934404527552,5980.044595819285,6318.322382927718,6662.048480536707,6956.653418567582,7206.026338301791,7451.133446141578,7713.670415511702,7956.201330027099,8286.038264725255,8714.417080225763,9170.120785332565,9602.461798194545,10060.282770885784,10513.968928922628,10868.19911625194,11168.162883023839,11492.579854571519
37,PT,15103.9364029391,15347.275348080639,15554.67677003754,15854.622180483979,16366.120553252302,16973.87755839774,17575.08716683802,18124.03887457872,18553.225572484902,18787.93315462374,18963.6293705073,19049.430071176903,19144.5375344712,19321.17526715282,19554.42618601918,19601.0180273683,19690.28331082868,19663.073039200237,19403.89572551514,19123.66686815498,19021.621223807062
38,RO,4362.085374620234,4273.054918667816,4343.829711281922,4440.9015424225245,4507.96408140426,4539.522520892289,4538.935833933958,4560.968778103014,4700.709043966523,4889.191000759622,5198.75345235941,5548.915013234155,5947.395849048772,6392.4543243244925,6971.35767479434,7352.855245042127,7618.232101095427,7811.105203970901,7922.076098661052,7933.549941715292,8089.965933695043
39,RU,6499.6166015625,5902.242578125,5353.21123046875,5036.09697265625,4779.4162109375,4728.94375,4821.1478515625,5007.5662109375,5237.53251953125,5608.52109375,6015.9802734375,6415.9236328125,6882.1115234375,7428.1578125,7972.80654296875,8277.8443359375,8564.19111328125,8799.106640625,8966.1634765625,9071.726953125,9299.5427734375
40,SE,33570.18158332054,33585.74421961326,33825.22778155338,34394.246950132845,35446.853422275926,36606.443078116674,37900.24978109526,39192.63071843004,40428.5278047289,41520.02058333334,42636.36582428236,43611.01020349196,44863.710840681204,46217.32607973444,47287.16402487422,47517.5955725947,47993.50271547254,48328.535064156196,48276.60558110246,48377.5461522865,49139.91016574922
41,SI,0.0,0.0,0.0,0.0,0.0,14409.27534310202,15002.192102997742,15607.54993883162,16183.62163560432,16758.89033263574,17330.039497208643,17929.7881015631,18638.48516150582,19493.049087250278,20391.714490235136,20763.83602095466,21038.47394549646,21131.84124563712,20848.291609328262,20373.44546805464,20378.57817369396
42,SK,0.0,0.0,7224.719659122221,7590.5829097495325,8003.105206061719,8333.761764700295,8608.259315920273,8847.68618220019,9079.015045381213,9350.917121688359,9734.374537964599,10236.6346871321,10871.48062695066,11690.198552590078,12552.19545175914,13144.57761773466,13764.678410015738,14263.590373450501,14530.07789115358,14662.38819877664,15035.94842991012
43,TR,5477.455965976122,5562.945682950578,5724.559308422242,5922.857223181209,6066.581743409998,6220.023978935242,6372.3196451211825,6365.303190683873,6345.7728932423215,6370.013727895277,6566.3373820964,6805.306735788117,7224.8148606535015,7646.981706398787,8008.448347876276,8157.918208782209,8308.52029617627,8533.640506547457,8754.201097020155,9109.048493108354,9630.577439840667
44,US,39783.732035215886,40287.17027085534,41118.493903275026,42061.67070403516,43183.20762568828,44412.24632307921,45797.31847756986,46963.351515531656,47928.8366989218,48792.94501683124,49617.87921578159,50426.61730752138,51428.91931800662,52469.7764063708,53233.361681715935,53335.55689827043,53370.30344845781,53301.65747102781,53284.425933251485,53479.750624203196,54215.591295892
45,ZA,4745.780122251077,4671.966710930762,4654.2095144741215,4688.4799491149115,4723.513725927977,4759.325579569302,4812.85130176653,4858.0313698479395,4919.363931468972,5008.624037431944,5123.695926596358,5255.24950381221,5421.399038566134,5610.301680045484,5803.94520819728,5927.589274509382,6027.024199795096,6098.217740144444,6132.463050172636,6155.254034246261,6211.561841384722
