,cntr,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
20,IE,207.0,216.0,253.0,297.0,357.0,387.0,482.0,558.0,636.0,760.0,938.0,1024.0,1123.0,1261.0,1360.0,1417.0,1573.0,1765.0,2012.0,2180.0,2451.0,2736.0,3239.0,3777.0,4643.0,5453.0,6183.0,7022.0,7603.0,7610.0,7649.0
21,IL,844.0,824.0,912.0,1045.0,1098.0,1186.0,1253.0,1295.0,1471.0,1803.0,2271.0,2850.0,3381.0,3917.0,4535.0,5168.0,5940.0,7097.0,7939.0,8354.0,8947.0,9581.0,10405.0,11786.0,13778.0,15491.0,17160.0,19137.0,20770.0,21305.0,21257.0
22,IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,249.0,283.0,340.0,364.0,439.0,608.0,874.0,1112.0,1633.0,2377.0,3477.0,4613.0,5785.0,6676.0,7721.0,8984.0,11177.0,13613.0,17287.0,21152.0,24157.0,24071.0,23176.0
23,IS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,251.0,238.0,242.0,267.0,259.0,283.0,280.0,309.0,309.0,328.0
24,IT,3429.0,4056.0,4725.0,5403.0,6232.0,6610.0,6530.0,6158.0,6021.0,5685.0,5593.0,5967.0,6557.0,6938.0,7714.0,8547.0,9429.0,10427.0,11584.0,12569.0,13545.0,14694.0,15773.0,16690.0,17700.0,17696.0,17316.0,17075.0,16198.0,14572.0,13738.0
25,JP,682592.0,685071.0,623214.0,556818.0,489769.0,405707.0,387324.0,391646.0,372706.0,368107.0,385995.0,408859.0,430540.0,472810.0,496376.0,525597.0,562586.0,598764.0,620613.0,645529.0,664987.0,666941.0,666824.0,669540.0,665272.0,650892.0,650908.0,660480.0,668237.0,653346.0,635804.0
26,KR,538.0,853.0,1170.0,1529.0,2048.0,2810.0,3848.0,5929.0,9251.0,15730.0,28148.0,59330.0,100635.0,139495.0,175465.0,244835.0,319091.0,372796.0,443044.0,484753.0,422333.0,401951.0,481089.0,533902.0,588173.0,711583.0,815382.0,847163.0,903455.0,988721.0,1067848.0
27,LI,424.0,463.0,447.0,452.0,423.0,455.0,503.0,526.0,512.0,490.0,461.0,370.0,348.0,378.0,465.0,529.0,679.0,746.0,762.0,766.0,750.0,657.0,650.0,665.0,759.0,758.0,778.0,839.0,847.0,972.0,1238.0
28,LT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,226.0,245.0,317.0,360.0,407.0
29,LU,320.0,323.0,383.0,427.0,411.0,393.0,383.0,332.0,273.0,265.0,270.0,286.0,299.0,329.0,426.0,433.0,535.0,646.0,761.0,849.0,996.0,1107.0,1274.0,1382.0,1545.0,1786.0,1880.0,2065.0,2230.0,2324.0,2269.0
30,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,223.0,266.0,286.0,328.0,462.0,406.0
31,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,303.0,340.0,356.0,462.0,531.0
32,MX,251.0,255.0,255.0,229.0,245.0,251.0,246.0,254.0,303.0,343.0,376.0,439.0,488.0,543.0,585.0,636.0,664.0,722.0,799.0,886.0,1040.0,1206.0,1406.0,1675.0,2084.0,2314.0,2614.0,2870.0,3101.0,3125.0,3134.0
33,NL,4042.0,4727.0,5569.0,6343.0,7041.0,7256.0,7278.0,6891.0,6540.0,6518.0,6540.0,6713.0,7138.0,7971.0,9034.0,10620.0,13046.0,16763.0,19463.0,20643.0,22404.0,23330.0,23566.0,24512.0,26460.0,27361.0,27559.0,27236.0,27102.0,26353.0,26242.0
34,NO,484.0,566.0,692.0,745.0,869.0,920.0,876.0,758.0,679.0,584.0,559.0,630.0,699.0,761.0,845.0,891.0,978.0,1086.0,1260.0,1347.0,1469.0,1612.0,1848.0,1980.0,2311.0,2813.0,3112.0,3475.0,3809.0,3953.0,3890.0
