,cntr,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,mean
20,IE,0.3531689612683854,0.38262156835918876,0.33092749530536064,0.4320757168404608,0.49386834456383544,0.5181453079710342,0.5582785639664813,0.7329227084973328,0.7499797108179478,0.7619630889946175,0.7571461035512949,0.8518157224643511,0.8324434018207774,0.8740702202272681,0.8394159717541119,0.6679705639547895,0.6108283314307807,0.7061465491656894,0.7291495610833614,0.643540850050814,0.7197362695462138,0.7725573619071435,0.8864395915310734,0.6952540186658113,0.6741582313071927,0.6367912475935639,0.5835775203721654,0.5125042258437634,0.5871797266050085,0.5163040234227457,0.48938582716593576,0.6515732608260038
21,IL,0.6548994349864308,0.7153716563740035,0.7415258809884504,0.6782272350327115,0.6814941266679895,0.726910161590947,0.8394131191795858,0.8340665207544572,0.8045327206867188,0.7921239679307969,0.9257602431885523,0.8445693651215324,0.9052503488062518,0.935927140610625,0.7950912864973589,0.7867500493503236,0.8558526115395342,0.8522418994608122,0.6914590434908,0.6671446586628956,0.6546678608232696,0.5192260828132585,0.47788487670875096,0.42052913375605644,0.4735238860256493,0.40169498196341974,0.4244603743318787,0.458573636939801,0.4134830302669084,0.51958934659582,0.4747764820337286,0.6770707242730963
22,IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25519204606050866,0.28515708630468206,0.2614064250456301,0.3349052701499275,0.3933868695657634,0.26110130860236624,0.2580202582869147,0.2892178057182897,0.30822828880398856,0.33082643385055804,0.45546704579219094,0.4343317842728018,0.42000886283910704,0.41905585024207737,0.36575111472925986,0.29526452281875465,0.2885914242923447,0.27907796069873775,0.28570843724010586,0.2875636052495517,0.33523104092411143,0.28471231306794914,0.27644456604319034,0.29489905762130664,0.25665164594067064
23,IS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1449779337817593,0.11292822547017753,0.10181086346156658,0.11317695569803762,0.16423478099428454,0.1511556963626989,0.15362310646352834,0.15302643573515803,0.1674868237944403,0.14199287470608288,0.13918111563345006,0.0514531604033728
24,IT,1.194284835179689,1.0707441092724654,1.1099202592022215,1.0914071552117364,1.112492605374176,0.9778623571584703,1.0117282728645451,0.9661433101825082,1.065471891093955,1.0817819595988671,0.9258352470440018,0.9507410203871506,0.8829730043130919,0.8579461332276838,1.1584833503980434,1.3570580767751579,1.3120531784776877,1.3707426873325146,1.4201993635385899,1.496158971251255,1.4390587195212095,1.4988844037020674,1.617820132905634,1.7257244007194752,1.7381735231882482,1.956675364274808,1.7716044091644996,1.8871000573700434,1.709656327434571,1.781838230285492,1.6951152244750551,1.334713124858174
25,JP,0.32526110669614916,0.3936500578117763,0.4269335710059715,0.3273656893052754,0.3372243273063369,0.2564867385389113,0.2717201467652755,0.3424561495927927,0.647162729545821,0.5519725267920754,0.5401064909887081,0.7077831340302241,0.8094242686553504,0.8446070967987511,0.862551805295209,0.9673026323875701,0.9559923337389923,1.089384902512159,1.124896590973025,1.1949038720115688,1.3567292470249956,1.2719723726283498,1.1752114521594896,0.904200706001864,1.2329024378875404,1.0712645125446776,1.2923160145749613,1.4304168984370922,1.7224296067326754,1.9430074356490628,1.9232235633757273,0.9325199770357407
26,KR,0.5904777977559498,0.6344412535484436,0.674992346497468,0.7336641848294244,0.773982262351784,0.6738446803207274,0.5716859930718701,0.5944653065176103,0.6503735293245694,0.5734207164997137,0.7499475259626295,1.1073846740962046,1.1652801917623716,1.2538618030403532,1.3039388528006153,1.510811342641699,1.6071565298014714,1.6687928711771922,1.717603977479361,1.7892092287287575,1.7293988237804618,1.818354145720659,2.1400395613871934,2.594332544586029,2.6613714902675722,2.816793930795048,3.0182551519106173,3.1636406434532898,3.2534149278872055,3.1979280689799903,3.1342940382294047,1.642756019914991
27,LI,0.45626555090392557,0.45535590439079665,0.4085274211918558,0.3994897141221659,0.41957849859760793,0.43137248733502154,0.560189337192928,0.6334223809127623,0.6690957464351727,0.6215063880125349,0.712460506958058,0.5756335047834376,0.4942109878415524,0.4304008461677919,0.5682300345747835,0.5195523296933542,0.6446209368829929,0.7000039722549891,0.7231890710114216,0.7778312218563165,0.7630228611365937,0.7845414645710372,0.757575777404686,0.779110692852519,0.7612793409104289,0.6600762727469643,0.7062664639294822,0.7987084928152266,0.7264668441580134,0.6457186929705306,0.6608491393002959,0.6262762444337108
28,LT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3988390203575411,0.4146411272382199,0.4121039165214338,0.47415714196918035,0.5131795234715099,0.5372286874439383,0.09167164723339409
29,LU,0.2840852867812745,0.2496381341818692,0.2703591605429412,0.3184488698678692,0.32935975919070665,0.3390982367131169,0.3781968222734663,0.37153414085443726,0.44973724765166395,0.32742088922784196,0.2551114006479705,0.27985526650754083,0.26538071633992844,0.28870762107463216,0.43073449247480894,0.616627564086093,0.6707696388996526,0.7346833046625466,0.7251260952693805,0.7174818440689482,0.7089447829994944,0.7083167197354457,0.7732299358327538,0.658582756160179,0.5983058831290547,0.7227758815970127,0.7313277757753132,0.7422010693606473,0.7268583403040301,0.8231017785036042,0.822430333293695,0.5344782153742215
30,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25866792892008417,0.25752314396978304,0.35001199095067353,0.38320185808660534,0.41665521640983,0.5551166618621898,0.477606931151426,0.0899594577116864
31,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3160090538375926,0.35862978431313797,0.3226171885638888,0.38500432971486115,0.36061334676344076,0.3429314601888883,0.06952683877939365
32,MX,0.37428667964036816,0.35201800803505984,0.40823713892695984,0.2918901981846142,0.35944538147664395,0.35936492373174816,0.3311403747721824,0.3785131240662797,0.48253590364989846,0.4246624695993244,0.4197950200655152,0.490191701411433,0.5562606643162338,0.5556642313544983,0.5645842156682341,0.6924478694702448,0.6903440050337144,0.7553687871052918,0.8332016501787032,0.8170219937284614,0.8880241444695653,0.9009377742471069,0.8308188558277041,0.9523703401402902,1.1634527878618954,1.1946043701372189,1.1734527152961252,1.2759168042373283,1.2845493336273621,1.1514310973617017,1.1540926899860862,0.7244112857989141
33,NL,1.1205418717681446,1.1528325904589392,1.091577243122762,1.0329911999524801,1.0797080560110714,0.9407255754390845,0.9096874420369138,0.9085251001866943,0.9243054851616629,1.0030512237683442,0.9392617631268861,1.0864165218846695,0.9955308137286186,1.0231242407269066,0.9517573594544355,0.9168249672026476,0.9700215646068048,0.965371373626888,0.9395511906725852,1.002783333815665,1.0168757103212207,1.127893778340387,1.0732542164079069,1.050276257422032,1.0403173297264607,1.0598790238625717,1.166271824396153,1.0829606472132034,1.125163678129109,1.150738373592459,1.1464489973323875,1.0291375627242647
34,NO,0.5703930272620635,0.6315356522945691,0.7570881404533628,0.8064493740530787,0.7781530354615663,0.8646071268156753,0.8601634844996994,0.7634498187318963,0.6839406205185133,0.5490453174759737,0.47749807800121047,0.4656679142969968,0.49614504640685303,0.5129557272061861,0.491310423832643,0.5021672685308886,0.5839448147488799,0.7206799998845205,0.6702302503306752,0.6846526129167103,0.6868018747321346,0.653007173971191,0.6470010910399602,0.6255879362547566,0.5891402885553672,0.5377319478370013,0.5641608104553804,0.6292717258178153,0.5181038666019225,0.558551630908757,0.5559401833786513,0.6288327745337613
35,NZ,0.46961785013226526,0.48374051774862675,0.4951761599189353,0.47253272530131624,0.5204109839197757,0.41959625369004294,0.48246998663641877,0.5093104977042546,0.7006426170821336,0.6515552149054922,0.6837767752914606,0.739515738381336,0.688340574554362,0.6327816715865595,0.6568315494871946,0.6528256580714076,0.6730797170729718,0.7874319328879538,0.754343271078951,0.830306376457898,0.9171192555025052,0.9311867003952955,1.0038195176632891,1.033989399296066,1.1337443303217594,1.082394806770553,1.1088596819858132,1.146812055283627,1.1836704247540162,1.0812068890133215,1.1601033528362814,0.7872524878533206
36,PL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5002420938843143,0.5215497871170552,0.48740131371587603,0.5362855849779994,0.47692506649470845,0.4513073858342729,0.5111943831038418,0.5172903467087631,0.6087565305897878,0.6563925328385237,0.6417064832398638,0.7758425395975108,0.9577716163128054,0.9261384942308615,1.0047833686099212,0.3191195842418702
37,PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2922640188660965,0.3245258281583124,0.33391289534994656,0.3370583489040455,0.38773369567368204,0.3788116211725535,0.4815200968007318,0.5819757129475157,0.5719519998869959,0.6742461633653968,0.6089995408354154,0.605102244770266,0.586413689858829,0.5872305454857438,0.22505821340251767
38,RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4411754561503984,0.4124445648068284,0.40683252561069383,0.49219539766734105,0.48546260144063635,0.5208778430806512,0.5083290167436718,0.5385190481270754,0.4676513076881809,0.38294487260001747,0.1552144211305165
39,RU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4632759006562556,0.5503390967940127,0.9437560480386125,0.9577061577118149,1.0281725256320848,1.0514108939932088,1.0528651598661507,1.227757677942857,1.1622714118150956,1.286400215725428,1.1841791727054727,1.1727256440637028,1.20927966886728,1.085364227671549,1.1522331999051993,1.093666845558468,1.1393138287217486,1.2584174753973552,1.2886133785140141,1.46273990503122,1.416529201500663,1.4014316591581428,1.2406849659700527,0.8609711420413464
40,SE,1.1710468389403037,1.263179758816665,1.2292580404083693,1.2155931442398495,1.2829102215787005,1.2964630174488927,1.1839451469214672,1.1825486904922617,1.2253295049772692,1.0830718095266405,1.0190147380264207,0.907066475580534,0.8768090403296092,0.8688621825064827,0.7000442910828072,0.5496325618945722,0.6262947913487728,0.7253888671209673,0.7539109696189793,0.7612338601096172,0.899883463398782,1.0059297886489047,1.1920516476101901,1.110382536052926,1.050337103364216,1.0632670672781106,0.9955753408515219,1.0893706045618041,1.0059175297451626,1.1175055872946373,1.191368679251131,1.015738215336209
41,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3337591060338206,0.4079702407961474,0.4670519191082065,0.48909330743624063,0.556290755714169,0.6040040830362099,0.5861511211005305,0.5672066016335529,0.6908718151189766,0.6559056038157208,0.7054688037323595,0.8504631337508274,0.7490607892086157,0.6873003352339292,0.7046268363848703,0.775620987394818,0.32769484798329984
42,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.501135862408778,0.5056092368967179,0.5125264037556674,0.4580413942359679,0.4757001749683049,0.5540905611447274,0.6671755348036107,0.6726439826230416,0.623967512262783,0.16569635543665331
43,TR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3966073493145637,0.38422376834498806,0.47849847410376317,0.4814978826655293,0.49994064390936416,0.5604703095780205,0.6247183490450111,0.6472788240083954,0.6965180156397647,0.6489202391372989,0.6265095751639586,0.7283510391189421,0.7683503396721807,0.7459295095995898,0.27626047731004566
44,US,2.9087035435199926,2.9386884581079653,2.9009774622489544,3.0314329086033305,3.1503784743611565,3.3721609927071525,3.4150910006685833,3.6166896265489483,3.782544947868305,4.030572748296408,3.8264159244691265,3.6005290039224866,3.4286884050608384,3.389313702476321,3.0324417429849526,2.9179104182794506,2.8246503894878745,2.6918702007568083,2.5273022260169506,2.4958386788438025,2.5340622066452454,2.3832859196900236,2.2526975457368295,1.9396055888341666,1.8387842234071703,1.7634374692262438,1.8769577596276348,1.8728448086452478,1.7625067022243461,1.7558602411102873,1.790091345724069,2.758121037419356
45,ZA,0.6951399201075269,0.7805624120782061,0.8414752180564051,0.914479116023057,0.93986827900257,0.9467463337864948,0.8871976850136902,0.9450368634498983,0.88191181484672,0.7688978181995278,0.8082580756189133,0.9553041210183623,0.9723129780400153,0.8560765812614101,0.9081641358130914,0.83483642870316,0.692209014661175,0.7899540142410866,0.7898694375745375,0.7140827487605176,0.6972819516201817,0.8223519893956261,0.9235550303322501,0.912389191839859,0.9705979317882727,1.2001672638876852,1.1208068728137317,1.0245467602567813,1.003105449683455,0.8755223600553522,0.9058731090778431,0.8894480328966625
