,region,cntr,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,mean
0,Aargau_CH,CH,1.7272571039547455,1.9413463657788737,1.5847181319520367,1.5852236595877445,1.6705990925834784,1.8440807028235737,1.9900965032288613,1.9438620463169218,2.039114290034628,1.9532286805243249,1.9383651286504915,1.9827389528040231,2.1367025916963307,2.2259340046828435,2.189510053180988,2.1973802081270235,2.1662601498262797,1.799294655735616,2.060418347534371,2.1258696516951607,2.3738942666378295,2.673116946846948,2.57903428241028,2.672807554065714,2.86654721938048,2.5380348567634474,2.5002945209919383,2.521979972944904,2.543391717984111,2.219133337615572,2.163532811632423,2.153347348644902
1,Abruzzo_IT,IT,0.1489916646710749,0.09113782216160327,0.17242850411491348,0.20659224044035163,0.25378484320838407,0.27273997044264925,0.2122475122242834,0.21174634560345626,0.2526283278669881,0.23272268323620537,0.30053254609956903,0.38562581478227237,0.43350483154584585,0.3971218380531163,0.5952247273352387,0.6014331549740193,0.6246959330601746,0.7001333601995964,0.7975415781145248,0.6983821104152987,0.7691476120673759,0.8628879579701664,0.8612116660920355,0.8773343302315716,0.7477373681507503,0.7070675177954985,0.6105305460336504,0.5795854663270433,0.6402419274579488,0.6294368820095186,0.6695348882565931,0.5014171603529586
2,Adana_TR,TR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045902594202917736,0.0014807288452554108
3,Aegean_GR,GR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05534168812888498,0.08289054477906738,0.09934553332836119,0.13828242028121465,0.23979714830439883,0.26410700009226684,0.2816206271956275,0.3133360285105596,0.20715466621759787,0.12385213804640918,0.057466124590843014,0.060103029660491324
4,Afyon_TR,TR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06008332472580534,0.0019381717653485593
5,Aguascalientes_MX,MX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07375388829680503,0.08708637916008624,0.0796132945015357,0.1640105070888909,0.13500829072747433,0.12666733998322624,0.12766593535618975,0.11686753461039102,0.07403441611448565,0.03176476083351887
6,Aichi_JP,JP,1.4853845356245428,1.5179523756514255,1.5851407834064148,1.4391203820012652,1.5811132993878676,1.6190286510041256,1.592142539131862,1.684932378257906,1.822857023187246,1.6317580780822183,1.6406481004935118,1.9428577054518548,2.3063228177616555,2.3227077968183827,2.459496383950339,2.242760744914471,2.36299339148555,2.023065610514408,2.0700484128711283,2.1026931207874417,2.210326568554091,2.083059375726133,2.056277009757096,1.8940955155106651,1.8266757428059828,1.5454531739908055,1.740435394310282,1.9491173502945573,2.0182048126996746,2.2206667745275035,2.403761497992724,1.9155192692565521
7,Akershus_NO,NO,0.4399830674801261,0.4841219524736834,0.47978463069601496,0.43102119792794014,0.6348389186862035,0.6856922569018782,0.8552177183127266,0.7293429570407763,0.6815968246595883,0.5195080796562928,0.484281774983643,0.5209080810779371,0.5294405785045708,0.4801162399584782,0.5570544724884724,0.7062359400354856,0.7118365127142015,0.7802400368498843,0.8617181883446263,0.8780514505371428,0.8534205876020733,0.9733598687493491,1.0432291571200945,0.9341268526703299,0.8667462892386611,0.9668140958344105,1.0110814891409279,1.0656050708071643,1.1524868437762943,1.0552103767095589,0.9068994125910993,0.7509668039861174
8,Akita_JP,JP,0.5474618195138837,0.5478172664827432,0.5151084855973734,0.4809624639651689,0.4610806028884124,0.3455988164488831,0.4062319672063156,0.41094522072139633,0.37709090559757064,0.35565313495887724,0.37091551905200965,0.3500172518208151,0.38236433809839504,0.4094940938288966,0.3512710583297949,0.5046468932492134,0.44534412681526675,0.4672047229648399,0.6456265426322827,0.6949262615145987,0.7321689285232648,0.7224444510372384,0.7645359064028884,0.5670209829277675,0.36643218396865984,0.3292979335443552,0.37797936971319973,0.33963330025413435,0.36295272363954073,0.3834217743695161,0.3930756207187679,0.4647975698963249
9,Alabama_US,US,2.409205138807096,2.47995567845882,2.3886993900744726,2.4377333670080725,2.7294649163205995,2.946024924316729,2.7264835831539913,2.9496632113451664,3.285693981801101,3.239854468960704,2.9826541115268723,3.314708449672316,3.34083478938936,3.245281164391546,3.5231365954949023,3.468577014421433,3.258882598640145,3.4006043306384477,3.234908837312676,3.098992748698162,3.1289465944767874,3.1037922461820973,2.7787373032102187,2.7875665816061574,3.137581913789754,3.2818383649056186,3.3834588571099777,3.4757438235002702,3.079504931550686,3.4085962345049525,3.5547289983269694,3.0832856499869714
10,Alagoas_BR,BR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09165967065380742,0.0,0.0,0.08555117734026801,0.08629884118086567,0.0,0.08067745035118433,0.08826226933286167,0.01394998093093507
