,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,MA
0,0.14243973703433163,0.13573407202216067,0.1383219954648526,0.16062736614386156,0.1417233560090703,0.13951789627465302,0.12086776859504132,0.12293388429752067,0.1416930737890448,0.1362847222222222,0.1293402777777778,0.1468224981738495,0.12629757785467127,0.13555555555555557,0.15373961218836565,0.1683521713265913,0.1580161476355248,0.15081873024992817,0.15166666666666667,0.1484375,0.14177693761814744,0.13254622410336378,0.1165457918704672,0.11557093425605536,0.11366213151927437,0.11392028554431886,0.12046400951814396,0.1261015862842493,0.13165515705056804,0.13037109375,0.13505566057550936,'s-Hertogenbosch_NL
1,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.625,0.625,0.0,0.0,0.0,0.0,0.3888888888888889,0.38271604938271603,0.35802469135802467,0.36,0.2755102040816326,0.3079584775086505,0.2664359861591695,0.25925925925925924,0.235,0.20226843100189035,0.2,0.21763085399449036,0.19690660321237358,0.20764462809917356,0.17028061224489796,0.1789536266349584,0.17118252467968914,0.16591715976331362,A Coruña_ES
2,0.24489795918367346,0.1796875,0.2037037037037037,0.16666666666666666,0.1728395061728395,0.168,0.2024793388429752,0.185,0.19,0.215,0.23469387755102042,0.26627218934911245,0.2179930795847751,0.25443786982248523,0.22,0.17901234567901234,0.16598079561042525,0.13434903047091412,0.14455681142177276,0.12139551441794233,0.13020833333333334,0.11522633744855967,0.11925952296190816,0.1171875,0.14744801512287334,0.1415289256198347,0.13636363636363635,0.13020833333333334,0.13586776859504132,0.15755053507728894,0.16165289256198348,Aalborg_DK
3,0.16625,0.20880428316478286,0.15976331360946747,0.14083175803402648,0.15082644628099173,0.16099773242630386,0.1672753834915997,0.18981481481481483,0.17768595041322313,0.16272189349112426,0.21759809750297265,0.19111111111111112,0.17714285714285713,0.16666666666666666,0.16839506172839505,0.14222222222222222,0.119140625,0.12381300219138057,0.11324493217497333,0.10783528280724243,0.0984375,0.10438074634937804,0.10635486854274012,0.10493827160493827,0.11357340720221606,0.1296103595791421,0.1332465277777778,0.1318,0.12998397586954472,0.13424795892601632,0.12900690016595337,Aarhus_DK
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.36,Abakan_RU
5,0.2290249433106576,0.22839506172839505,0.19753086419753085,0.28719723183391005,0.275,0.2190082644628099,0.20477502295684114,0.21333333333333335,0.1760204081632653,0.1904,0.17159763313609466,0.17,0.15680473372781065,0.14201183431952663,0.1640625,0.1848064280496713,0.16918714555765596,0.14930555555555555,0.16927083333333334,0.1831275720164609,0.19338715878508267,0.1797193300135808,0.18761124955500177,0.16696333214667142,0.14489142043431827,0.14625445897740785,0.14285714285714285,0.1485854310536868,0.14890400604686319,0.15219976218787157,0.16689062080085998,Abbotsford_CA
6,0.15035401915868388,0.14940828402366865,0.14188981224992306,0.11921861534041941,0.13080947983995075,0.1313634745461018,0.1232,0.12817739318550567,0.1468224981738495,0.1493877551020408,0.1558641975308642,0.1658144631117604,0.17061224489795918,0.13739669421487602,0.1376,0.12960760998810938,0.10978147762747138,0.13495838287752676,0.13793103448275862,0.1411911703456893,0.1502835538752363,0.14489142043431827,0.14127423822714683,0.16230677764565993,0.17125803489439853,0.18758977305372018,0.2552083333333333,0.26412918108419836,0.2568595041322314,0.2556480380499406,0.2395870416518334,Aberdeen_GB
7,0.15581854043392504,0.14625445897740785,0.14149821640903687,0.15088757396449703,0.2199546485260771,0.23356009070294784,0.23356009070294784,0.2231404958677686,0.2013888888888889,0.17751479289940827,0.14933837429111532,0.15311909262759923,0.165,0.19113573407202217,0.19135802469135801,0.18339100346020762,0.1326530612244898,0.1640625,0.21875,0.2222222222222222,0.2231404958677686,0.2066115702479339,0.22448979591836735,0.2,0.1893491124260355,0.17333333333333334,0.16015625,0.1440443213296399,0.14981070849107625,0.16322314049586778,0.20672023374726078,Abilene_US
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,Adana_TR
9,0.15084876543209877,0.13173333333333334,0.13194444444444445,0.12693877551020408,0.10080350620891161,0.08787316579524372,0.1090107120352867,0.10902608369300057,0.11045706371191136,0.10693877551020409,0.10816568047337279,0.1146384479717813,0.11352040816326531,0.11607142857142858,0.11462223498994542,0.14094387755102042,0.1256377551020408,0.14158163265306123,0.11690405804891159,0.14745562130177514,0.12274448652261083,0.11673469387755102,0.11568358481938729,0.11441115702479339,0.11601108033240998,0.1206095041322314,0.12511046585027144,0.1193289224952741,0.107421875,0.11556952662721894,0.1268411749852706,Adelaide_AU
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.36,0.34375,0.44,0.46875,0.5,0.6111111111111112,0.5,Agra_IN
